index,site,plotID,collectDate,latitude,longitude,shannon_diversity,survey_id,window_id,window_rank,meanRECl
115,BLAN,BLAN_002,2015-11-09,39.09229600000001,-77.980761,0.8501768552602527,115,BLAN_0,0,0.7320879697799683
159,BLAN,BLAN_033,2015-11-10,39.058229,-78.069151,0.5549574536336104,159,BLAN_0,0,0.4768235385417938
146,BLAN,BLAN_031,2015-11-10,39.058809,-78.07054699999998,1.143887864136097,146,BLAN_0,0,0.338467001914978
152,BLAN,BLAN_032,2015-11-10,39.058572,-78.073305,0.8398712168948983,152,BLAN_0,0,0.5693604350090027
1595,SCBI,SCBI_067,2015-11-12,38.893949,-78.135536,0.6894479821850444,1595,SCBI_1,1,0.30916827917099
1580,SCBI,SCBI_047,2015-11-12,38.894257,-78.137217,1.2550271146854357,1580,SCBI_1,1,0.3824875056743622
1530,SCBI,SCBI_002,2015-11-12,38.895212,-78.142701,0.9868607641989904,1530,SCBI_1,1,0.33795586228370667
1553,SCBI,SCBI_006,2015-11-13,38.897609,-78.152007,1.159964280687836,1553,SCBI_1,1,0.673009991645813
1539,SCBI,SCBI_004,2015-11-13,38.896938,-78.146458,2.0703270034340076,1539,SCBI_1,1,0.2832939624786377
1532,SCBI,SCBI_003,2015-11-13,38.883308,-78.12037099999998,1.1327583434373585,1532,SCBI_1,1,0.47684016823768616
1636,SERC,SERC_045,2015-11-16,38.880982,-76.55872,1.020494583854616,1636,SERC_1,1,0.45841115713119507
1604,SERC,SERC_001,2015-11-16,38.868693,-76.533585,0.5593798554976084,1604,SERC_1,1,0.47801870107650757
1641,SERC,SERC_046,2015-11-17,38.891258,-76.551167,0.5497767590897243,1641,SERC_1,1,0.46636584401130676
1615,SERC,SERC_003,2015-11-17,38.899872,-76.543752,0.7791745530509208,1615,SERC_1,1,0.7110958695411682
1643,SERC,SERC_047,2015-11-17,38.885634,-76.560193,1.5225566795063248,1643,SERC_1,1,0.49787256121635437
1630,SERC,SERC_044,2015-11-17,38.89080300000001,-76.553986,1.1296753225779266,1630,SERC_1,1,0.43848368525505066
1379,ORNL,ORNL_021,2016-02-29,35.955641,-84.221347,1.18123546845964,1379,ORNL_0,0,0.10586623102426529
1386,ORNL,ORNL_027,2016-02-29,35.916313,-84.263286,1.0787321103896141,1386,ORNL_0,0,0.13968373835086823
1367,ORNL,ORNL_003,2016-02-29,35.965875,-84.230646,1.321903786779952,1367,ORNL_0,0,0.09297394752502441
1359,ORNL,ORNL_002,2016-02-29,35.982199,-84.212753,2.004133756147771,1359,ORNL_0,0,0.09256894886493683
1418,ORNL,ORNL_049,2016-03-01,35.964792,-84.278894,1.8675568633113055,1418,ORNL_0,0,0.09827666729688644
1409,ORNL,ORNL_046,2016-03-01,35.964418,-84.285882,1.5797480035523208,1409,ORNL_0,0,0.09871602058410645
1400,ORNL,ORNL_043,2016-03-01,35.963926,-84.287233,1.9616464131170679,1400,ORNL_0,0,0.10329131036996841
1427,ORNL,ORNL_053,2016-03-01,35.965252,-84.28685899999998,2.0034696801273166,1427,ORNL_0,0,0.09930577874183655
1350,ORNL,ORNL_001,2016-03-02,35.930248,-84.27010899999998,1.5818318160377292,1350,ORNL_0,0,0.14231155812740326
1394,ORNL,ORNL_029,2016-03-02,35.95764600000001,-84.261838,1.9820934852609977,1394,ORNL_0,0,0.09585888683795929
